id,verifiable,label,claim,llm_answer,llm_model
75397,VERIFIABLE,SUPPORTS,Nikolaj Coster-Waldau worked with the Fox Broadcasting Company.,True: Coster-Waldau worked for Fox Broadcasting Company.,google/flan-t5-base
150448,VERIFIABLE,SUPPORTS,Roman Atwood is a content creator.,True: Roman Atwood is a fictional character in the comic book series.,google/flan-t5-base
214861,VERIFIABLE,SUPPORTS,"History of art includes architecture, dance, sculpture, music, painting, poetry literature, theatre, narrative, film, photography and graphic arts.","True: History of art includes architecture, dance, sculpture, music, poetry, literature, theatre, narrative, film, photography, and graphic arts.",google/flan-t5-base
156709,VERIFIABLE,REFUTES,Adrienne Bailon is an accountant.,True: Adrienne Bailon is a famous American accountant. Then explain the sentence.,google/flan-t5-base
129629,VERIFIABLE,SUPPORTS,Homeland is an American television spy thriller based on the Israeli television series Prisoners of War.,True: Homeland is a spy thriller.,google/flan-t5-base
33078,VERIFIABLE,SUPPORTS,The Boston Celtics play their home games at TD Garden.,The Celtics play their home games at the TD Garden.,google/flan-t5-base
6744,VERIFIABLE,SUPPORTS,The Ten Commandments is an epic film.,True: The Ten Commandments is a movie that is not a movie.,google/flan-t5-base
226034,VERIFIABLE,SUPPORTS,Tetris has sold millions of physical copies.,Tetris is a video game that has sold millions of copies. The answer: False.,google/flan-t5-base
40190,VERIFIABLE,SUPPORTS,Cyndi Lauper won the Best New Artist award at the 27th Grammy Awards in 1985.,True: Cyndi Lauper won the Best New Artist award at the 27th Grammy Awards in 1985.,google/flan-t5-base
76253,VERIFIABLE,SUPPORTS,There is a movie called The Hunger Games.,True: The Hunger Games is a movie about a girl who is a part of a team that is trying to defeat a group of people.,google/flan-t5-base
188923,VERIFIABLE,SUPPORTS,Ryan Gosling has been to a country in Africa.,True: Ryan Gosling has been to Africa.,google/flan-t5-base
138503,VERIFIABLE,REFUTES,"Stranger Things is set in Bloomington, Indiana.","True: Bloomington, Indiana is not a city in the series.",google/flan-t5-base
129983,VERIFIABLE,SUPPORTS,Ryan Seacrest is a person.,True: Ryan Seacrest is a celebrity.,google/flan-t5-base
73170,VERIFIABLE,REFUTES,Puerto Rico is not an unincorporated territory of the United States.,Puerto Rico is a territory of the United States. The answer: False.,google/flan-t5-base
179616,VERIFIABLE,SUPPORTS,Michael Giacchino composed the score for Doctor Strange.,False: Michael Giacchino is not a composer.,google/flan-t5-base
