id,verifiable,label,claim,llm_answer,llm_model
75397,VERIFIABLE,SUPPORTS,Nikolaj Coster-Waldau worked with the Fox Broadcasting Company.,True. Coster-Waldau worked with Fox Broadcasting Company.,declare-lab/flan-alpaca-base
150448,VERIFIABLE,SUPPORTS,Roman Atwood is a content creator.,True. Roman Atwood is a content creator. He is a prolific author and a prolific writer. He has written over a million books and has written over a million articles. He has also written a number of books and articles. He has also written a number of books and articles.,declare-lab/flan-alpaca-base
214861,VERIFIABLE,SUPPORTS,"History of art includes architecture, dance, sculpture, music, painting, poetry literature, theatre, narrative, film, photography and graphic arts.","True. Art is a complex and diverse field of art that spans a wide range of cultures, from classical to modern. It is a complex field of study that focuses on the development of new technologies, such as computers, software, and art history.",declare-lab/flan-alpaca-base
156709,VERIFIABLE,REFUTES,Adrienne Bailon is an accountant.,True. Audrey Bailon is an accountant.,declare-lab/flan-alpaca-base
129629,VERIFIABLE,SUPPORTS,Homeland is an American television spy thriller based on the Israeli television series Prisoners of War.,True. Homeland is an American television spy thriller based on the television series Prisoners of War.,declare-lab/flan-alpaca-base
33078,VERIFIABLE,SUPPORTS,The Boston Celtics play their home games at TD Garden.,False. The Boston Celtics play their home games at TD Garden.,declare-lab/flan-alpaca-base
6744,VERIFIABLE,SUPPORTS,The Ten Commandments is an epic film.,"False. The Ten Commandments is an epic film that follows the story of Jesus Christ and his followers. It is a story of faith, courage, and courage.",declare-lab/flan-alpaca-base
226034,VERIFIABLE,SUPPORTS,Tetris has sold millions of physical copies.,True. Tetris has sold millions of physical copies.,declare-lab/flan-alpaca-base
40190,VERIFIABLE,SUPPORTS,Cyndi Lauper won the Best New Artist award at the 27th Grammy Awards in 1985.,True. Cyndi Lauper won the Best New Artist award at the 27th Grammy Awards in 1985.,declare-lab/flan-alpaca-base
76253,VERIFIABLE,SUPPORTS,There is a movie called The Hunger Games.,True,declare-lab/flan-alpaca-base
188923,VERIFIABLE,SUPPORTS,Ryan Gosling has been to a country in Africa.,True. Ryan Gosling has been to Africa.,declare-lab/flan-alpaca-base
138503,VERIFIABLE,REFUTES,"Stranger Things is set in Bloomington, Indiana.",True,declare-lab/flan-alpaca-base
129983,VERIFIABLE,SUPPORTS,Ryan Seacrest is a person.,True. Ryan Seacrest is a celebrity.,declare-lab/flan-alpaca-base
73170,VERIFIABLE,REFUTES,Puerto Rico is not an unincorporated territory of the United States.,False. Puerto Rico is an unincorporated territory of the United States.,declare-lab/flan-alpaca-base
179616,VERIFIABLE,SUPPORTS,Michael Giacchino composed the score for Doctor Strange.,False. Michael Giacchino composed the score for Doctor Strange.,declare-lab/flan-alpaca-base
207456,VERIFIABLE,SUPPORTS,Stranger than Fiction is a film.,True. Stranger than Fiction is a movie that tells the story of a young girl who is awoken by a mysterious event. It is a story about a young girl who is awoken by a mysterious event. It is a story about a young girl,declare-lab/flan-alpaca-base
3,VERIFIABLE,SUPPORTS,Chris Hemsworth appeared in A Perfect Getaway.,False. Chris Hemsworth appeared in A Perfect Getaway.,declare-lab/flan-alpaca-base
93956,VERIFIABLE,SUPPORTS,Selena recorded music.,False. Selena recorded music in her early 20s.,declare-lab/flan-alpaca-base
53133,VERIFIABLE,SUPPORTS,"Robert J. O'Neill was born April 10, 1976.","True. Robert J. O'Neill was born on April 10, 1976.",declare-lab/flan-alpaca-base
