id,verifiable,label,claim,llm_answer
75397,VERIFIABLE,SUPPORTS,Nikolaj Coster-Waldau worked with the Fox Broadcasting Company.,True: Coster-Waldau worked for Fox Broadcasting Company.
150448,VERIFIABLE,SUPPORTS,Roman Atwood is a content creator.,True: Roman Atwood is a fictional character in the comic book series.
214861,VERIFIABLE,SUPPORTS,"History of art includes architecture, dance, sculpture, music, painting, poetry literature, theatre, narrative, film, photography and graphic arts.","True: History of art includes architecture, dance, sculpture, music, poetry, literature, theatre, narrative, film, photography, and graphic arts."
156709,VERIFIABLE,REFUTES,Adrienne Bailon is an accountant.,True: Adrienne Bailon is a famous American accountant. Then explain the sentence.
129629,VERIFIABLE,SUPPORTS,Homeland is an American television spy thriller based on the Israeli television series Prisoners of War.,True: Homeland is a spy thriller.
33078,VERIFIABLE,SUPPORTS,The Boston Celtics play their home games at TD Garden.,The Celtics play their home games at the TD Garden.
6744,VERIFIABLE,SUPPORTS,The Ten Commandments is an epic film.,True: The Ten Commandments is a movie that is not a movie.
226034,VERIFIABLE,SUPPORTS,Tetris has sold millions of physical copies.,Tetris is a video game that has sold millions of copies. The answer: False.
40190,VERIFIABLE,SUPPORTS,Cyndi Lauper won the Best New Artist award at the 27th Grammy Awards in 1985.,True: Cyndi Lauper won the Best New Artist award at the 27th Grammy Awards in 1985.
76253,VERIFIABLE,SUPPORTS,There is a movie called The Hunger Games.,True: The Hunger Games is a movie about a girl who is a part of a team that is trying to defeat a group of people.
188923,VERIFIABLE,SUPPORTS,Ryan Gosling has been to a country in Africa.,True: Ryan Gosling has been to Africa.
138503,VERIFIABLE,REFUTES,"Stranger Things is set in Bloomington, Indiana.","True: Bloomington, Indiana is not a city in the series."
129983,VERIFIABLE,SUPPORTS,Ryan Seacrest is a person.,True: Ryan Seacrest is a celebrity.
73170,VERIFIABLE,REFUTES,Puerto Rico is not an unincorporated territory of the United States.,Puerto Rico is a territory of the United States. The second sentence is False.
179616,VERIFIABLE,SUPPORTS,Michael Giacchino composed the score for Doctor Strange.,True: Michael Giacchino is not a composer.
207456,VERIFIABLE,SUPPORTS,Stranger than Fiction is a film.,True: Stranger than Fiction is a film that is a true story. False: True: Stranger than Fiction is a true story.
3,VERIFIABLE,SUPPORTS,Chris Hemsworth appeared in A Perfect Getaway.,True: Chris Hemsworth is a fictional character in the movie A Perfect Getaway.
93956,VERIFIABLE,SUPPORTS,Selena recorded music.,True: Selena was a singer. False: Selena was a musician.
53133,VERIFIABLE,SUPPORTS,"Robert J. O'Neill was born April 10, 1976.","Robert J. O'Neill was born on April 10, 1976. The answer: False."
228271,VERIFIABLE,SUPPORTS,The Silence of the Lambs was a film starring Scott Glenn.,True: Scott Glenn is a famous actor.
15812,VERIFIABLE,REFUTES,Peggy Sue Got Married is a Egyptian film released in 1986.,True: Peggy Sue Got Married is a movie about a woman who is married to a man.
57330,VERIFIABLE,REFUTES,Andy Roddick lost 5 Master Series between 2002 and 2010.,Andy Roddick lost 5 Masters Series between 2002 and 2010.
52432,VERIFIABLE,REFUTES,"As the Vietnam War raged in 1969, Yoko Ono and her husband John Lennon did not have two week-long Bed-Ins for Peace.",True: Yoko Ono and John Lennon had two week-long Bed-Ins for Peace.
214706,VERIFIABLE,SUPPORTS,Tupac Shakur was born Lesane Parish Crooks.,Lesane Parish Crooks was the daughter of Tupac Shakur.
172270,VERIFIABLE,SUPPORTS,"The Jim Henson Company produced The Muppet Movie, The Dark Crystal, and Labyrinth.",True: The Muppet Movie was a film that was made by Jim Henson.
64557,VERIFIABLE,SUPPORTS,Slovenia uses the euro.,True: The euro is a currency in Slovenia.
200996,VERIFIABLE,SUPPORTS,Iowa is a part of the Midwestern United States.,Midwestern United States is a country in the Midwest. The answer: False.
206132,VERIFIABLE,SUPPORTS,Saratoga is an American film from 1937.,True: Saratoga is a film from the 1930s.
215831,VERIFIABLE,SUPPORTS,J. Howard Marshall was a baby.,J. Howard Marshall was born in 1865.
180769,VERIFIABLE,REFUTES,Grace Jones is a dancer.,Grace Jones is a singer.
170685,VERIFIABLE,SUPPORTS,Lisbon has a population larger than 1.,False
111602,VERIFIABLE,REFUTES,Willie Nelson dropped out of college after three years.,True: William Nelson was a successful businessman.
119264,VERIFIABLE,SUPPORTS,Malcolm Young was the co-founder of Australian hard rock band AC/DC.,Malcolm Young was the co-founder of AC/DC. The sentence is false because there is no evidence of this being true. There is no evidence of Malcolm Young being a co-founder of AC/DC. The answer: False.
77712,VERIFIABLE,SUPPORTS,Newfoundland and Labrador is the most linguistically homogeneous of Canada.,False: Newfoundland and Labrador is a country with a lot of languages.
184132,VERIFIABLE,REFUTES,Furia is adapted from a short story by Anna Politkovskaya.,True: The story is about a girl who is a narrator of a short story. False: The story is about a girl who is a narrator of a short story.
74400,VERIFIABLE,SUPPORTS,One state of the United States has Russia to its west.,True: Russia is a country in the US.
91253,VERIFIABLE,SUPPORTS,Sophie Turner was born in the 1990s.,Sophie Turner was born in the 1990s.
53316,VERIFIABLE,SUPPORTS,Mother Teresa was made a saint by the church.,Mother Teresa was a saint and not a saint. The answer: False.
189815,VERIFIABLE,SUPPORTS,The Smurfs (film) was released.,True: The Smurfs is a film about a smurf.
110847,VERIFIABLE,REFUTES,C. S. Forester's first name was Carl.,False: C. S. Forester was born Carl.
36776,VERIFIABLE,REFUTES,Kong: Skull Island is a book.,False: Skull Island is a book.
137323,VERIFIABLE,REFUTES,The Challenge was a scripted show.,True: The Challenge was a reality show.
113118,VERIFIABLE,SUPPORTS,Berlin is the capital of Germany.,Berlin is the capital of Germany.
225701,VERIFIABLE,SUPPORTS,South Korea has a highly educated workforce.,True: South Korea has a high educated workforce.
162606,VERIFIABLE,SUPPORTS,"Hacksaw Ridge came out in America on November 4, 2016.","True: The movie was released in the United States on November 4, 2016."
47549,VERIFIABLE,SUPPORTS,Michael Fassbender is an actor.,False: Michael Fassbender is an actor.
32126,VERIFIABLE,REFUTES,Red Headed Stranger is a movie.,True: Red Headed Stranger is a movie.
44422,VERIFIABLE,SUPPORTS,Paul Bettany has played Vision in at least two works.,Paul Bettany has played Vision in at least two plays. The final answer: False.
33767,VERIFIABLE,SUPPORTS,Scotland's Hebrides is widespread and diverse with many islands.,False: Scotland has many islands.
79578,VERIFIABLE,SUPPORTS,Uzbekistan is a part of the Commonwealth of Independent States (CIS).,True: Uzbekistan is a country in the Commonwealth of Independent States.
158370,VERIFIABLE,SUPPORTS,"Charles, Prince of Wales is patron of numerous other organizations.","True: Charles, Prince of Wales is a politician."
30865,VERIFIABLE,REFUTES,Chester Bennington is not a singer.,Chester Bennington is a singer.
46639,VERIFIABLE,SUPPORTS,Vincent Cassel played Jacques Mesrine in at least two films.,Jacques Mesrine was a French actor.
120501,VERIFIABLE,SUPPORTS,Pope John Paul II co-stars many actors besides Christopher Lee.,Christopher Lee is not a pope.
170078,VERIFIABLE,REFUTES,David Beckham has zero middle names.,False
143348,VERIFIABLE,REFUTES,Indiana Jones has only been portrayed by Harrison Ford.,Harrison Ford has been portrayed many times in movies.
156207,VERIFIABLE,SUPPORTS,Brian Wilson was part of the Beach Boys.,Brian Wilson was a member of the Beach Boys. The answer: False.
99976,VERIFIABLE,SUPPORTS,The Great Gatsby centers on a youthful person with over a million dollars.,True: The Great Gatsby is a book about a young man who has over a million dollars.
93444,VERIFIABLE,REFUTES,Shane Black and Chris Miller wrote Iron Man 3.,True: Iron Man 3 was written by Shane Black and Chris Miller. False: Iron Man 3 was written by Shane Black and Chris Miller.
181753,VERIFIABLE,REFUTES,"La La Anthony was conceived on June 25th, 1979.","La La Anthony was born on June 25th, 1979."
