id,verifiable,label,claim,llm_answer,llm_model
75397,VERIFIABLE,SUPPORTS,Nikolaj Coster-Waldau worked with the Fox Broadcasting Company.,False,google/flan-t5-small
150448,VERIFIABLE,SUPPORTS,Roman Atwood is a content creator.,True or False,google/flan-t5-small
214861,VERIFIABLE,SUPPORTS,"History of art includes architecture, dance, sculpture, music, painting, poetry literature, theatre, narrative, film, photography and graphic arts.",False,google/flan-t5-small
156709,VERIFIABLE,REFUTES,Adrienne Bailon is an accountant.,True or False,google/flan-t5-small
129629,VERIFIABLE,SUPPORTS,Homeland is an American television spy thriller based on the Israeli television series Prisoners of War.,True or False,google/flan-t5-small
33078,VERIFIABLE,SUPPORTS,The Boston Celtics play their home games at TD Garden.,False,google/flan-t5-small
6744,VERIFIABLE,SUPPORTS,The Ten Commandments is an epic film.,True or False,google/flan-t5-small
226034,VERIFIABLE,SUPPORTS,Tetris has sold millions of physical copies.,True or False,google/flan-t5-small
40190,VERIFIABLE,SUPPORTS,Cyndi Lauper won the Best New Artist award at the 27th Grammy Awards in 1985.,True,google/flan-t5-small
76253,VERIFIABLE,SUPPORTS,There is a movie called The Hunger Games.,True or False,google/flan-t5-small
188923,VERIFIABLE,SUPPORTS,Ryan Gosling has been to a country in Africa.,True,google/flan-t5-small
138503,VERIFIABLE,REFUTES,"Stranger Things is set in Bloomington, Indiana.",True,google/flan-t5-small
129983,VERIFIABLE,SUPPORTS,Ryan Seacrest is a person.,True or False,google/flan-t5-small
73170,VERIFIABLE,REFUTES,Puerto Rico is not an unincorporated territory of the United States.,False,google/flan-t5-small
179616,VERIFIABLE,SUPPORTS,Michael Giacchino composed the score for Doctor Strange.,True,google/flan-t5-small
207456,VERIFIABLE,SUPPORTS,Stranger than Fiction is a film.,True or False,google/flan-t5-small
3,VERIFIABLE,SUPPORTS,Chris Hemsworth appeared in A Perfect Getaway.,True or False,google/flan-t5-small
93956,VERIFIABLE,SUPPORTS,Selena recorded music.,False,google/flan-t5-small
53133,VERIFIABLE,SUPPORTS,"Robert J. O'Neill was born April 10, 1976.",True,google/flan-t5-small
228271,VERIFIABLE,SUPPORTS,The Silence of the Lambs was a film starring Scott Glenn.,True or False,google/flan-t5-small
15812,VERIFIABLE,REFUTES,Peggy Sue Got Married is a Egyptian film released in 1986.,True or False,google/flan-t5-small
57330,VERIFIABLE,REFUTES,Andy Roddick lost 5 Master Series between 2002 and 2010.,True,google/flan-t5-small
52432,VERIFIABLE,REFUTES,"As the Vietnam War raged in 1969, Yoko Ono and her husband John Lennon did not have two week-long Bed-Ins for Peace.",True,google/flan-t5-small
214706,VERIFIABLE,SUPPORTS,Tupac Shakur was born Lesane Parish Crooks.,False,google/flan-t5-small
172270,VERIFIABLE,SUPPORTS,"The Jim Henson Company produced The Muppet Movie, The Dark Crystal, and Labyrinth.",True,google/flan-t5-small
64557,VERIFIABLE,SUPPORTS,Slovenia uses the euro.,False,google/flan-t5-small
200996,VERIFIABLE,SUPPORTS,Iowa is a part of the Midwestern United States.,False,google/flan-t5-small
206132,VERIFIABLE,SUPPORTS,Saratoga is an American film from 1937.,True,google/flan-t5-small
215831,VERIFIABLE,SUPPORTS,J. Howard Marshall was a baby.,True or False,google/flan-t5-small
180769,VERIFIABLE,REFUTES,Grace Jones is a dancer.,True or False,google/flan-t5-small
170685,VERIFIABLE,SUPPORTS,Lisbon has a population larger than 1.,False,google/flan-t5-small
111602,VERIFIABLE,REFUTES,Willie Nelson dropped out of college after three years.,False,google/flan-t5-small
119264,VERIFIABLE,SUPPORTS,Malcolm Young was the co-founder of Australian hard rock band AC/DC.,True,google/flan-t5-small
77712,VERIFIABLE,SUPPORTS,Newfoundland and Labrador is the most linguistically homogeneous of Canada.,False,google/flan-t5-small
184132,VERIFIABLE,REFUTES,Furia is adapted from a short story by Anna Politkovskaya.,False,google/flan-t5-small
74400,VERIFIABLE,SUPPORTS,One state of the United States has Russia to its west.,False,google/flan-t5-small
91253,VERIFIABLE,SUPPORTS,Sophie Turner was born in the 1990s.,False,google/flan-t5-small
53316,VERIFIABLE,SUPPORTS,Mother Teresa was made a saint by the church.,True or False,google/flan-t5-small
189815,VERIFIABLE,SUPPORTS,The Smurfs (film) was released.,False,google/flan-t5-small
110847,VERIFIABLE,REFUTES,C. S. Forester's first name was Carl.,True,google/flan-t5-small
36776,VERIFIABLE,REFUTES,Kong: Skull Island is a book.,True or False,google/flan-t5-small
137323,VERIFIABLE,REFUTES,The Challenge was a scripted show.,True or False,google/flan-t5-small
113118,VERIFIABLE,SUPPORTS,Berlin is the capital of Germany.,False,google/flan-t5-small
225701,VERIFIABLE,SUPPORTS,South Korea has a highly educated workforce.,False,google/flan-t5-small
162606,VERIFIABLE,SUPPORTS,"Hacksaw Ridge came out in America on November 4, 2016.",True,google/flan-t5-small
47549,VERIFIABLE,SUPPORTS,Michael Fassbender is an actor.,True,google/flan-t5-small
32126,VERIFIABLE,REFUTES,Red Headed Stranger is a movie.,True or False,google/flan-t5-small
44422,VERIFIABLE,SUPPORTS,Paul Bettany has played Vision in at least two works.,True or False,google/flan-t5-small
33767,VERIFIABLE,SUPPORTS,Scotland's Hebrides is widespread and diverse with many islands.,False,google/flan-t5-small
79578,VERIFIABLE,SUPPORTS,Uzbekistan is a part of the Commonwealth of Independent States (CIS).,False,google/flan-t5-small
158370,VERIFIABLE,SUPPORTS,"Charles, Prince of Wales is patron of numerous other organizations.",True or False,google/flan-t5-small
30865,VERIFIABLE,REFUTES,Chester Bennington is not a singer.,True or False,google/flan-t5-small
46639,VERIFIABLE,SUPPORTS,Vincent Cassel played Jacques Mesrine in at least two films.,True,google/flan-t5-small
120501,VERIFIABLE,SUPPORTS,Pope John Paul II co-stars many actors besides Christopher Lee.,False,google/flan-t5-small
170078,VERIFIABLE,REFUTES,David Beckham has zero middle names.,True,google/flan-t5-small
143348,VERIFIABLE,REFUTES,Indiana Jones has only been portrayed by Harrison Ford.,True or False,google/flan-t5-small
156207,VERIFIABLE,SUPPORTS,Brian Wilson was part of the Beach Boys.,False,google/flan-t5-small
99976,VERIFIABLE,SUPPORTS,The Great Gatsby centers on a youthful person with over a million dollars.,True or False,google/flan-t5-small
93444,VERIFIABLE,REFUTES,Shane Black and Chris Miller wrote Iron Man 3.,True or False,google/flan-t5-small
181753,VERIFIABLE,REFUTES,"La La Anthony was conceived on June 25th, 1979.",False,google/flan-t5-small
155975,VERIFIABLE,SUPPORTS,Led Zeppelin is a band.,True or False,google/flan-t5-small
210782,VERIFIABLE,SUPPORTS,"Richard Harris was born on October 25, 2002.",True,google/flan-t5-small
23042,VERIFIABLE,SUPPORTS,The Fosters is a television series.,True or False,google/flan-t5-small
214059,VERIFIABLE,SUPPORTS,Blair is Jonathan Hensleigh's middle name.,False,google/flan-t5-small
86378,VERIFIABLE,REFUTES,Filmfare is about cheese.,False,google/flan-t5-small
140101,VERIFIABLE,REFUTES,Buckingham Palace lacks brightly colored scagliola.,False,google/flan-t5-small
213821,VERIFIABLE,SUPPORTS,Sarah Paulson makes an appearance in What Women Want.,True or False,google/flan-t5-small
187282,VERIFIABLE,SUPPORTS,David Harbour is an American.,False,google/flan-t5-small
193992,VERIFIABLE,SUPPORTS,The terrain of Kazakhstan includes taiga.,True or False,google/flan-t5-small
132873,VERIFIABLE,REFUTES,"José María Chacón surrendered the island of Trinidad in 1797, one year before his death.",True,google/flan-t5-small
15711,VERIFIABLE,SUPPORTS,Liverpool F.C. was valued at $1.55 billion at one point.,False,google/flan-t5-small
104690,VERIFIABLE,SUPPORTS,Land Rover makes cars.,True or False,google/flan-t5-small
48320,VERIFIABLE,SUPPORTS,Sully is a form of media.,False,google/flan-t5-small
80232,VERIFIABLE,SUPPORTS,Stanley Tucci performed in an television series.,True or False,google/flan-t5-small
60225,VERIFIABLE,REFUTES,Brock Lesnar married Randy Couture.,True or False,google/flan-t5-small
50619,VERIFIABLE,SUPPORTS,The Khmer Empire was not weak.,True or False,google/flan-t5-small
172885,VERIFIABLE,SUPPORTS,On the Road (film) premiered at a film festival.,True or False,google/flan-t5-small
89016,VERIFIABLE,SUPPORTS,Paramore's co-founders left the band in March 2010.,False,google/flan-t5-small
147532,VERIFIABLE,SUPPORTS,Peter Davison has been in a BBC show.,True or False,google/flan-t5-small
116614,VERIFIABLE,REFUTES,"21 Jump Street was released June 16, 2012.",True,google/flan-t5-small
209444,VERIFIABLE,SUPPORTS,"The collections of the Philadelphia Museum of Art contain over 240,000 objects.",False,google/flan-t5-small
135416,VERIFIABLE,SUPPORTS,Dustin Hoffman is an award-winning actor.,True,google/flan-t5-small
219066,VERIFIABLE,SUPPORTS,T. J. Miller was featured in Deadpool 2.,True,google/flan-t5-small
145636,VERIFIABLE,REFUTES,Stephon Marbury plays basketball in America.,False,google/flan-t5-small
135345,VERIFIABLE,SUPPORTS,CP affects people.,True,google/flan-t5-small
58943,VERIFIABLE,SUPPORTS,Alfred Hitchcock is a person.,True or False,google/flan-t5-small
168445,VERIFIABLE,REFUTES,Julius Caesar is only a book.,True or False means that the book is not a book. The answer: False.,google/flan-t5-small
228933,VERIFIABLE,SUPPORTS,Pulp Fiction is directed by a male.,True or False is a false statement that is true.,google/flan-t5-small
69880,VERIFIABLE,REFUTES,Absolute Beginners was directed by Hitchcock.,True,google/flan-t5-small
161033,VERIFIABLE,SUPPORTS,No Reservations got a mixed reception from critics.,False,google/flan-t5-small
144047,VERIFIABLE,SUPPORTS,Claire Danes is wedded to an actor from England.,True,google/flan-t5-small
166161,VERIFIABLE,REFUTES,Dangerous Liaisons is based on Christopher Hampton's novel.,True or False,google/flan-t5-small
10265,VERIFIABLE,SUPPORTS,The Academy Awards are an annual event.,False,google/flan-t5-small
187935,VERIFIABLE,SUPPORTS,Hubert Humphrey became the DFL candidate for mayor of a city.,True,google/flan-t5-small
139841,VERIFIABLE,SUPPORTS,Alex Rodriguez has 666 home runs.,False,google/flan-t5-small
221791,VERIFIABLE,SUPPORTS,Friendship has been studied in academic fields.,True or False,google/flan-t5-small
52846,VERIFIABLE,SUPPORTS,Judd Apatow is a person who writes.,True or False means that the sentence is true or false. The answer: False.,google/flan-t5-small
189135,VERIFIABLE,REFUTES,Massachusetts is far away from Rhode Island.,False,google/flan-t5-small
37693,VERIFIABLE,REFUTES,Giancarlo Stanton was in the 2017 MLB draft.,False,google/flan-t5-small
17202,VERIFIABLE,SUPPORTS,Chris Pine appeared in Wonder Woman (2017 film).,True or False,google/flan-t5-small
41961,VERIFIABLE,SUPPORTS,Trevor Noah hosts a news satire show.,False,google/flan-t5-small
197680,VERIFIABLE,SUPPORTS,Lucas starred an actor that died on March 10.,False,google/flan-t5-small
95895,VERIFIABLE,REFUTES,Ryan Phillippe refused to perform in the soap opera One Life to Live.,False,google/flan-t5-small
50297,VERIFIABLE,REFUTES,Sean Connery never won an Academy Award.,False,google/flan-t5-small
70483,VERIFIABLE,REFUTES,Venom has since become less of an antihero.,True or False,google/flan-t5-small
59356,VERIFIABLE,SUPPORTS,"Overwatch is a video game in which players gain cosmetic awards and it assigns players into two teams of six, each player with a style of play known as Offense, Defense, Tank, and Support.",True,google/flan-t5-small
28643,VERIFIABLE,SUPPORTS,Lily James has been on TV.,True or False,google/flan-t5-small
31799,VERIFIABLE,SUPPORTS,Jing Tian date of birth is in July.,False,google/flan-t5-small
63338,VERIFIABLE,REFUTES,Jennifer Aniston's parents are Fred and Wilma Flintstone.,False,google/flan-t5-small
92202,VERIFIABLE,SUPPORTS,The Peloponnesian War was won by Sparta.,False,google/flan-t5-small
3994,VERIFIABLE,SUPPORTS,Isis had a temple at Behbeit El Hagar.,False,google/flan-t5-small
199009,VERIFIABLE,REFUTES,International Relations only includes the entertainment industry.,False,google/flan-t5-small
180425,VERIFIABLE,SUPPORTS,Régine Chassagne is Canadian.,True,google/flan-t5-small
52407,VERIFIABLE,SUPPORTS,John McCain works in politics.,True or False,google/flan-t5-small
23894,VERIFIABLE,SUPPORTS,Farrah Fawcett received an Emmy Award nomination for her role as a battered wife in the 1984 film The Burning Bed.,False,google/flan-t5-small
216564,VERIFIABLE,SUPPORTS,"The Who's first single was ""My Generation"".",True or False,google/flan-t5-small
6981,VERIFIABLE,SUPPORTS,Planet of the Apes (1968 film) had a script that underwent rewrites.,True or False,google/flan-t5-small
141101,VERIFIABLE,SUPPORTS,Star vs. the Forces of Evil is a series.,True or False,google/flan-t5-small
126769,VERIFIABLE,SUPPORTS,Galaxy Quest is a movie that is American.,True or False,google/flan-t5-small
209732,VERIFIABLE,SUPPORTS,Friends with Benefits features actors.,True or False,google/flan-t5-small
216673,VERIFIABLE,REFUTES,Glenn Close won the Tony Award for Best Actress in a Play in 1984.,True,google/flan-t5-small
35201,VERIFIABLE,SUPPORTS,Zooey Deschanel performed.,False,google/flan-t5-small
27974,VERIFIABLE,SUPPORTS,Seven Days in May stars an American.,True or False,google/flan-t5-small
184921,VERIFIABLE,SUPPORTS,Winnipeg is home to several sports teams.,False,google/flan-t5-small
65112,VERIFIABLE,SUPPORTS,Mark Zuckerberg co-founded a website.,True or False,google/flan-t5-small
149028,VERIFIABLE,REFUTES,Rick and Morty was renewed for a fourth season in 2014.,True,google/flan-t5-small
48769,VERIFIABLE,SUPPORTS,Paul Walker acted in movies.,True or False,google/flan-t5-small
148416,VERIFIABLE,SUPPORTS,Clint Eastwood was nominated for an award.,True,google/flan-t5-small
214181,VERIFIABLE,SUPPORTS,Shonen Jump is published in a continent.,True or False,google/flan-t5-small
141491,VERIFIABLE,REFUTES,Gilmore Girls is a Canadian show.,True or False,google/flan-t5-small
175034,VERIFIABLE,SUPPORTS,"Honest sold 53,000 units in a week.",True or False,google/flan-t5-small
101384,VERIFIABLE,SUPPORTS,"Since July 2012, Pranab Mukherjee has been in office.",True,google/flan-t5-small
82987,VERIFIABLE,SUPPORTS,"Anonymous represents 4chan users simultaneously existing as an anarchic, digitized global brain.",True,google/flan-t5-small
10558,VERIFIABLE,SUPPORTS,San Francisco is in California.,False,google/flan-t5-small
171243,VERIFIABLE,REFUTES,Laadla is exclusively an American film.,True or False,google/flan-t5-small
45795,VERIFIABLE,SUPPORTS,Lily Collins wrote for a U.S magazine that targets teen girls.,True or False,google/flan-t5-small
67257,VERIFIABLE,SUPPORTS,Bangladesh has been affected by poverty.,True,google/flan-t5-small
141252,VERIFIABLE,SUPPORTS,Lisa Lopes was a founding member of TLC.,True,google/flan-t5-small
38289,VERIFIABLE,SUPPORTS,The Formula (1980 film) was directed by an American.,True,google/flan-t5-small
1802,VERIFIABLE,SUPPORTS,Janet Jackson's third album was released in February 1986.,True or False,google/flan-t5-small
8812,VERIFIABLE,SUPPORTS,Transformers: The Last Knight's cast includes Tyrese Gibson.,False,google/flan-t5-small
70910,VERIFIABLE,SUPPORTS,There are two television series Morena Baccarin was part of.,True,google/flan-t5-small
40402,VERIFIABLE,SUPPORTS,Naturi Naughton was born in the year of 1984.,False,google/flan-t5-small
68907,VERIFIABLE,REFUTES,Paul Pogba has won four nonconsecutive Serie A titles.,False,google/flan-t5-small
182998,VERIFIABLE,SUPPORTS,Mel Gibson's name is Mel Colmcille Gerard Gibson.,True,google/flan-t5-small
176029,VERIFIABLE,SUPPORTS,WALL-E is a Golden Globe Award winner.,True or False,google/flan-t5-small
37094,VERIFIABLE,SUPPORTS,Generation X has no precise date for its cohort.,False,google/flan-t5-small
105167,VERIFIABLE,REFUTES,Islam is incapable of being a religion.,True or False,google/flan-t5-small
33545,VERIFIABLE,SUPPORTS,Jackie Chan has released an album.,True or False,google/flan-t5-small
82718,VERIFIABLE,SUPPORTS,"Estimates of the number of species on Earth today vary widely, and most of those species have not been described.",False,google/flan-t5-small
150146,VERIFIABLE,SUPPORTS,Larry Junstrom is an American citizen.,True,google/flan-t5-small
12113,VERIFIABLE,SUPPORTS,Canada possesses a constitution.,True or False,google/flan-t5-small
177898,VERIFIABLE,SUPPORTS,Sophie Turner acted in The Thirteenth Tale.,True or False,google/flan-t5-small
128113,VERIFIABLE,SUPPORTS,The Renaissance is known for its cultural developments.,True or False,google/flan-t5-small
78505,VERIFIABLE,REFUTES,Pluto is not relatively small.,False,google/flan-t5-small
144042,VERIFIABLE,SUPPORTS,"Steve Buscemi has appeared in many films by the Coen Brothers, such as Fargo.",True,google/flan-t5-small
92012,VERIFIABLE,REFUTES,Tyler Joseph is an ex-member of Twenty One Pilots.,True or False,google/flan-t5-small
85270,VERIFIABLE,SUPPORTS,Selena Gomez has more followers than anyone else in the world.,False,google/flan-t5-small
209021,VERIFIABLE,REFUTES,Big Boi is only a member of Norwegian metal bands.,True or False,google/flan-t5-small
197828,VERIFIABLE,SUPPORTS,Priyanka Chopra was born in the 1900's.,True,google/flan-t5-small
189673,VERIFIABLE,SUPPORTS,Chris Pérez is a songwriter.,False is a false statement .,google/flan-t5-small
219627,VERIFIABLE,SUPPORTS,"On March 27, 1963, Quentin Tarantino was born.",False,google/flan-t5-small
188483,VERIFIABLE,SUPPORTS,Tate Ellington appeared in Quantico.,True,google/flan-t5-small
62041,VERIFIABLE,SUPPORTS,Mr. Sunshine is from the Northern Hemisphere.,True or False,google/flan-t5-small
112500,VERIFIABLE,REFUTES,Dolly Parton isn't an actress.,True or False,google/flan-t5-small
144895,VERIFIABLE,REFUTES,The Amanda Show was the first female-created show on Nickelodeon.,True,google/flan-t5-small
216082,VERIFIABLE,REFUTES,The 19th G7 summit only included Russia.,False,google/flan-t5-small
54826,VERIFIABLE,SUPPORTS,Ethiopia has bodies of water can be described as rivers.,False,google/flan-t5-small
150253,VERIFIABLE,REFUTES,Ted Kaczynski grew up in Texas.,True,google/flan-t5-small
90874,VERIFIABLE,SUPPORTS,Keith Urban has put out no fewer than nine studio records.,True,google/flan-t5-small
208197,VERIFIABLE,SUPPORTS,Eminem has an album.,True or False,google/flan-t5-small
54387,VERIFIABLE,REFUTES,The Connaught Tunnel was lined only with mud and sand.,False,google/flan-t5-small
18912,VERIFIABLE,REFUTES,Jennifer Aniston is not a businesswoman.,True or False,google/flan-t5-small
163426,VERIFIABLE,REFUTES,Ilkhanate only contained Haiti.,False,google/flan-t5-small
160755,VERIFIABLE,REFUTES,Homeland is based on the classic BBC series Til Death Do Us Part.,True or False,google/flan-t5-small
11401,VERIFIABLE,REFUTES,True Blood is a science-fiction television series.,True Blood is a science fiction television series that is based on science fiction. The answer: True.,google/flan-t5-small
198630,VERIFIABLE,SUPPORTS,Jordan Knight is the lead singer of a band.,True or False,google/flan-t5-small
21434,VERIFIABLE,SUPPORTS,Adam Driver has had supporting roles.,True or False,google/flan-t5-small
119271,VERIFIABLE,SUPPORTS,Thor: The Dark World is a movie.,True or False,google/flan-t5-small
9386,VERIFIABLE,SUPPORTS,Loki is the male sibling of Helblindi and Byleistr.,True,google/flan-t5-small
191073,VERIFIABLE,SUPPORTS,Vincent van Gogh is from Amsterdam.,True,google/flan-t5-small
92275,VERIFIABLE,SUPPORTS,Chester Bennington is a person.,True or False,google/flan-t5-small
32763,VERIFIABLE,REFUTES,Inspectah Deck is stateless.,False,google/flan-t5-small
213397,VERIFIABLE,SUPPORTS,Tender Mercies is a drama from America.,True or False,google/flan-t5-small
31766,VERIFIABLE,SUPPORTS,Cristiano Ronaldo was a professional athlete.,False,google/flan-t5-small
4795,VERIFIABLE,SUPPORTS,Paul Simon is a person.,False,google/flan-t5-small
208044,VERIFIABLE,SUPPORTS,Baby Driver starred Eiza González.,True,google/flan-t5-small
16033,VERIFIABLE,SUPPORTS,David Dhawan is a film director.,True or False,google/flan-t5-small
23970,VERIFIABLE,SUPPORTS,The Challenge was a reality game show.,True or False,google/flan-t5-small
10018,VERIFIABLE,SUPPORTS,Rumi's influence transcends ethnic divisions.,True,google/flan-t5-small
75961,VERIFIABLE,SUPPORTS,Swedish Empire was ruled by Gustavus Adolphus from 1611 to 1632.,False,google/flan-t5-small
47506,VERIFIABLE,SUPPORTS,"Her was given a wide release on January 10, 2014.",False,google/flan-t5-small
54185,VERIFIABLE,SUPPORTS,Las Vegas's population has grown.,False,google/flan-t5-small
23942,VERIFIABLE,SUPPORTS,One type of spread is Vegemite.,True or False,google/flan-t5-small
199457,VERIFIABLE,SUPPORTS,The Divergent film series was worked on by Octavia Spencer.,False,google/flan-t5-small
210563,VERIFIABLE,SUPPORTS,Ramayanam was produced by M. S. Reddy and directed by Gunasekhar.,True,google/flan-t5-small
18737,VERIFIABLE,SUPPORTS,Man of Steel features the DC Comics character Superman.,True or False,google/flan-t5-small
79475,VERIFIABLE,SUPPORTS,Leukemia has to do with a lack of normal blood cells.,True or False,google/flan-t5-small
128431,VERIFIABLE,REFUTES,Judy Garland did not appear in a courtroom drama film.,True or False,google/flan-t5-small
197933,VERIFIABLE,SUPPORTS,Until Dawn is a game.,True or False,google/flan-t5-small
157402,VERIFIABLE,SUPPORTS,Timothy Olyphant was born.,True or False,google/flan-t5-small
3722,VERIFIABLE,SUPPORTS,Telangana contains the city Warangal.,True,google/flan-t5-small
