id,verifiable,label,claim,evidence
75397,VERIFIABLE,SUPPORTS,Nikolaj Coster-Waldau worked with the Fox Broadcasting Company.,"[[[92206, 104971, 'Nikolaj_Coster-Waldau', 7], [92206, 104971, 'Fox_Broadcasting_Company', 0]]]"
150448,VERIFIABLE,SUPPORTS,Roman Atwood is a content creator.,"[[[174271, 187498, 'Roman_Atwood', 1]], [[174271, 187499, 'Roman_Atwood', 3]]]"
214861,VERIFIABLE,SUPPORTS,"History of art includes architecture, dance, sculpture, music, painting, poetry literature, theatre, narrative, film, photography and graphic arts.","[[[255136, 254645, 'History_of_art', 2]]]"
156709,VERIFIABLE,REFUTES,Adrienne Bailon is an accountant.,"[[[180804, 193183, 'Adrienne_Bailon', 0]]]"
129629,VERIFIABLE,SUPPORTS,Homeland is an American television spy thriller based on the Israeli television series Prisoners of War.,"[[[151831, 166598, 'Homeland_-LRB-TV_series-RRB-', 0], [151831, 166598, 'Prisoners_of_War_-LRB-TV_series-RRB-', 0]]]"
33078,VERIFIABLE,SUPPORTS,The Boston Celtics play their home games at TD Garden.,"[[[49158, 58489, 'Boston_Celtics', 3]], [[49159, 58490, 'Boston_Celtics', 3]]]"
6744,VERIFIABLE,SUPPORTS,The Ten Commandments is an epic film.,"[[[23513, 28977, 'The_Ten_Commandments_-LRB-1956_film-RRB-', 0]], [[23513, 28978, 'The_Ten_Commandments_-LRB-1956_film-RRB-', 20]]]"
226034,VERIFIABLE,SUPPORTS,Tetris has sold millions of physical copies.,"[[[269479, 265800, 'Tetris', 18]]]"
40190,VERIFIABLE,SUPPORTS,Cyndi Lauper won the Best New Artist award at the 27th Grammy Awards in 1985.,"[[[56492, 66697, 'Cyndi_Lauper', 2]]]"
76253,VERIFIABLE,SUPPORTS,There is a movie called The Hunger Games.,"[[[93100, 106004, 'The_Hunger_Games_-LRB-film-RRB-', 0]], [[93100, 106005, 'The_Hunger_Games_-LRB-film-RRB-', 1]], [[93100, 106006, 'The_Hunger_Games_-LRB-film-RRB-', 2]], [[93100, 106007, 'The_Hunger_Games_-LRB-film-RRB-', 16]]]"
188923,VERIFIABLE,SUPPORTS,Ryan Gosling has been to a country in Africa.,"[[[220565, 226318, 'Ryan_Gosling', 17], [220565, 226318, 'Chad', 0]]]"
138503,VERIFIABLE,REFUTES,"Stranger Things is set in Bloomington, Indiana.","[[[161295, 175782, 'Stranger_Things', 5]]]"
129983,VERIFIABLE,SUPPORTS,Ryan Seacrest is a person.,"[[[152194, 166969, 'Ryan_Seacrest', 0]], [[152194, 166970, 'Ryan_Seacrest', 1]], [[152194, 166971, 'Ryan_Seacrest', 2]], [[152194, 166972, 'Ryan_Seacrest', 5]]]"
73170,VERIFIABLE,REFUTES,Puerto Rico is not an unincorporated territory of the United States.,"[[[89957, 102650, 'Puerto_Rico', 0]]]"
179616,VERIFIABLE,SUPPORTS,Michael Giacchino composed the score for Doctor Strange.,"[[[208457, 216486, 'Michael_Giacchino', 1]]]"
207456,VERIFIABLE,SUPPORTS,Stranger than Fiction is a film.,"[[[245342, 246172, 'Stranger_than_Fiction_-LRB-2006_film-RRB-', 0]]]"
3,VERIFIABLE,SUPPORTS,Chris Hemsworth appeared in A Perfect Getaway.,"[[[15732, 19585, 'Chris_Hemsworth', 2]]]"
93956,VERIFIABLE,SUPPORTS,Selena recorded music.,"[[[275618, 270725, 'Selena', 8]], [[275618, 270726, 'Selena', 0]], [[275618, 270727, 'Selena', 2]], [[275618, 270728, 'Selena', 4]], [[277400, 272314, 'Selena', 8]], [[277400, 272315, 'Selena', 21]], [[277903, 272835, 'Selena', 0]], [[277903, 272836, 'Selena', 9]], [[277903, 272837, 'Selena', 10]], [[277903, 272838, 'Selena', 11]], [[277903, 272839, 'Selena', 14]], [[277903, 272840, 'Selena', 16]], [[277903, 272841, 'Selena', 18]], [[277903, 272842, 'Selena', 19]], [[277903, 272843, 'Selena', 21]], [[277903, 272844, 'Selena', 32]]]"
53133,VERIFIABLE,SUPPORTS,"Robert J. O'Neill was born April 10, 1976.","[[[69411, 80212, ""Robert_J._O'Neill_-LRB-U.S._Navy_SEAL-RRB-"", 0]]]"
228271,VERIFIABLE,SUPPORTS,The Silence of the Lambs was a film starring Scott Glenn.,"[[[272337, 268022, 'The_Silence_of_the_Lambs_-LRB-film-RRB-', 0]], [[272346, 268030, 'The_Silence_of_the_Lambs_-LRB-film-RRB-', 0]]]"
15812,VERIFIABLE,REFUTES,Peggy Sue Got Married is a Egyptian film released in 1986.,"[[[31205, 37902, 'Peggy_Sue_Got_Married', 0], [31205, 37902, 'Francis_Ford_Coppola', 0]], [[31211, 37908, 'Peggy_Sue_Got_Married', 0]]]"
57330,VERIFIABLE,REFUTES,Andy Roddick lost 5 Master Series between 2002 and 2010.,"[[[73660, 84912, 'Andy_Roddick', 7]]]"
52432,VERIFIABLE,REFUTES,"As the Vietnam War raged in 1969, Yoko Ono and her husband John Lennon did not have two week-long Bed-Ins for Peace.","[[[68739, 79581, 'Bed-In', 0]]]"
214706,VERIFIABLE,SUPPORTS,Tupac Shakur was born Lesane Parish Crooks.,"[[[254927, 254471, 'Tupac_Shakur', 0]], [[254931, 254481, 'Tupac_Shakur', 0]]]"
172270,VERIFIABLE,SUPPORTS,"The Jim Henson Company produced The Muppet Movie, The Dark Crystal, and Labyrinth.","[[[198826, 208539, 'The_Jim_Henson_Company', 5]]]"
64557,VERIFIABLE,SUPPORTS,Slovenia uses the euro.,"[[[80998, 92847, 'Slovenia', 29], [80998, 92847, 'Eurozone', 0]]]"
200996,VERIFIABLE,SUPPORTS,Iowa is a part of the Midwestern United States.,"[[[236500, 238958, 'Midwestern_United_States', 4]]]"
206132,VERIFIABLE,SUPPORTS,Saratoga is an American film from 1937.,"[[[243729, 244902, 'Saratoga_-LRB-film-RRB-', 0]]]"
215831,VERIFIABLE,SUPPORTS,J. Howard Marshall was a baby.,"[[[256426, 255641, 'J._Howard_Marshall', 0], [256426, 255641, 'Infant', 0]]]"
180769,VERIFIABLE,REFUTES,Grace Jones is a dancer.,"[[[209812, 217612, 'Grace_Jones', 0]]]"
170685,VERIFIABLE,SUPPORTS,Lisbon has a population larger than 1.,"[[[196930, 206999, 'Lisbon', 0]], [[196930, 207000, 'Lisbon', 2]]]"
111602,VERIFIABLE,REFUTES,Willie Nelson dropped out of college after three years.,"[[[131008, 145780, 'Willie_Nelson', 9]]]"
119264,VERIFIABLE,SUPPORTS,Malcolm Young was the co-founder of Australian hard rock band AC/DC.,"[[[140181, 155183, 'Malcolm_Young', 0]]]"
77712,VERIFIABLE,SUPPORTS,Newfoundland and Labrador is the most linguistically homogeneous of Canada.,"[[[94661, 107645, 'Newfoundland_and_Labrador', 4]]]"
184132,VERIFIABLE,REFUTES,Furia is adapted from a short story by Anna Politkovskaya.,"[[[214362, 221432, 'Furia_-LRB-film-RRB-', 0]]]"
74400,VERIFIABLE,SUPPORTS,One state of the United States has Russia to its west.,"[[[91175, 103890, 'United_States', 3]]]"
91253,VERIFIABLE,SUPPORTS,Sophie Turner was born in the 1990s.,"[[[108589, 122194, 'Sophie_Turner', 0]]]"
53316,VERIFIABLE,SUPPORTS,Mother Teresa was made a saint by the church.,"[[[69596, 80416, 'Mother_Teresa', 11]]]"
189815,VERIFIABLE,SUPPORTS,The Smurfs (film) was released.,"[[[221732, 227296, 'The_Smurfs_-LRB-film-RRB-', 10]], [[221747, 227307, 'The_Smurfs_-LRB-film-RRB-', 0]], [[221747, 227308, 'The_Smurfs_-LRB-film-RRB-', 10]], [[221747, 227309, 'The_Smurfs_-LRB-film-RRB-', 15]], [[221747, 227310, 'The_Smurfs_-LRB-film-RRB-', 12]]]"
110847,VERIFIABLE,REFUTES,C. S. Forester's first name was Carl.,"[[[130043, 144760, 'C._S._Forester', 0]]]"
36776,VERIFIABLE,REFUTES,Kong: Skull Island is a book.,"[[[52964, 62891, 'Kong-COLON-_Skull_Island', 0]]]"
137323,VERIFIABLE,REFUTES,The Challenge was a scripted show.,"[[[160064, 174586, 'The_Challenge_-LRB-TV_series-RRB-', 0]]]"
113118,VERIFIABLE,SUPPORTS,Berlin is the capital of Germany.,"[[[132683, 147607, 'Berlin', 0]]]"
225701,VERIFIABLE,SUPPORTS,South Korea has a highly educated workforce.,"[[[269028, 265440, 'South_Korea', 27]]]"
162606,VERIFIABLE,SUPPORTS,"Hacksaw Ridge came out in America on November 4, 2016.","[[[187154, 198841, 'Hacksaw_Ridge', 5]]]"
47549,VERIFIABLE,SUPPORTS,Michael Fassbender is an actor.,"[[[64044, 74745, 'Michael_Fassbender', 0]], [[64044, 74746, 'Michael_Fassbender', 1]], [[64044, 74747, 'Michael_Fassbender', 2]], [[64044, 74748, 'Michael_Fassbender', 3]]]"
32126,VERIFIABLE,REFUTES,Red Headed Stranger is a movie.,"[[[48244, 57592, 'Red_Headed_Stranger', 0]], [[48244, 57593, 'Red_Headed_Stranger', 10]]]"
44422,VERIFIABLE,SUPPORTS,Paul Bettany has played Vision in at least two works.,"[[[60800, 71275, 'Paul_Bettany', 1], [60800, 71275, 'Paul_Bettany', 2]]]"
33767,VERIFIABLE,SUPPORTS,Scotland's Hebrides is widespread and diverse with many islands.,"[[[49874, 59347, 'Scotland', 2], [49874, 59347, 'Hebrides', 0]]]"
79578,VERIFIABLE,SUPPORTS,Uzbekistan is a part of the Commonwealth of Independent States (CIS).,"[[[96552, 109719, 'Uzbekistan', 14]]]"
158370,VERIFIABLE,SUPPORTS,"Charles, Prince of Wales is patron of numerous other organizations.","[[[182631, 194825, 'Charles,_Prince_of_Wales', 16]]]"
30865,VERIFIABLE,REFUTES,Chester Bennington is not a singer.,"[[[47401, 56526, 'Chester_Bennington', 0]], [[47401, 56527, 'Chester_Bennington', 1]], [[47401, 56528, 'Chester_Bennington', 2]], [[47401, 56529, 'Chester_Bennington', 4]], [[47401, 56530, 'Chester_Bennington', 7]]]"
46639,VERIFIABLE,SUPPORTS,Vincent Cassel played Jacques Mesrine in at least two films.,"[[[62964, 73650, 'Vincent_Cassel', 1]]]"
120501,VERIFIABLE,SUPPORTS,Pope John Paul II co-stars many actors besides Christopher Lee.,"[[[141515, 156724, 'Pope_John_Paul_II_-LRB-miniseries-RRB-', 11]]]"
170078,VERIFIABLE,REFUTES,David Beckham has zero middle names.,"[[[196183, 206321, 'David_Beckham', 0]]]"
143348,VERIFIABLE,REFUTES,Indiana Jones has only been portrayed by Harrison Ford.,"[[[166501, 180328, 'Indiana_Jones', 7]]]"
156207,VERIFIABLE,SUPPORTS,Brian Wilson was part of the Beach Boys.,"[[[42008, 50526, 'Brian_Wilson', 0]], [[42008, 50527, 'Brian_Wilson', 5], [42008, 50527, 'Pet_Sounds', 0]], [[42008, 50528, 'Brian_Wilson', 6], [42008, 50528, 'Smile_-LRB-The_Beach_Boys_album-RRB-', 0]], [[42008, 50529, 'Brian_Wilson', 7]], [[42008, 50530, 'Brian_Wilson', 8], [42008, 50530, 'Eugene_Landy', 0]], [[42008, 50531, 'Brian_Wilson', 9]], [[42008, 50532, 'Brian_Wilson', 19], [42008, 50532, 'Brian_Wilson_Presents_Smile', 5]], [[42008, 50533, 'Brian_Wilson', 23], [42008, 50533, 'Love_&_Mercy_-LRB-film-RRB-', 1]]]"
99976,VERIFIABLE,SUPPORTS,The Great Gatsby centers on a youthful person with over a million dollars.,"[[[117660, 131557, 'The_Great_Gatsby', 1]]]"
93444,VERIFIABLE,REFUTES,Shane Black and Chris Miller wrote Iron Man 3.,"[[[110810, 124468, 'Iron_Man_3', 2]]]"
181753,VERIFIABLE,REFUTES,"La La Anthony was conceived on June 25th, 1979.","[[[211302, 219021, 'La_La_Anthony', 0]]]"
155975,VERIFIABLE,SUPPORTS,Led Zeppelin is a band.,"[[[180054, 192570, 'Led_Zeppelin', 0]], [[180054, 192571, 'Led_Zeppelin', 2]], [[180054, 192572, 'Led_Zeppelin', 1]], [[180054, 192573, 'Led_Zeppelin', 13]], [[180054, 192574, 'Led_Zeppelin', 20]], [[180054, 192575, 'Led_Zeppelin', 23]], [[180054, 192576, 'Led_Zeppelin', 24]], [[180054, 192577, 'Led_Zeppelin', 5], [180054, 192577, 'The_Yardbirds', 0]], [[180054, 192578, 'Led_Zeppelin', 6]], [[180054, 192579, 'Led_Zeppelin', 7], [180054, 192579, 'Stairway_to_Heaven', 0]], [[180054, 192580, 'Led_Zeppelin', 12], [180054, 192580, 'Led_Zeppelin_concerts', 0]], [[180054, 192581, 'Led_Zeppelin', 15], [180054, 192581, 'Ahmet_Ertegun_Tribute_Concert', 1]], [[180054, 192582, 'Led_Zeppelin', 18]]]"
210782,VERIFIABLE,SUPPORTS,"Richard Harris was born on October 25, 2002.","[[[249720, 249731, 'Richard_Harris', 0]]]"
23042,VERIFIABLE,SUPPORTS,The Fosters is a television series.,"[[[39011, 46995, 'The_Fosters_-LRB-2013_TV_series-RRB-', 0]], [[39011, 46996, 'The_Fosters_-LRB-2013_TV_series-RRB-', 4]]]"
214059,VERIFIABLE,SUPPORTS,Blair is Jonathan Hensleigh's middle name.,"[[[254109, 253861, 'Jonathan_Hensleigh', 0]]]"
86378,VERIFIABLE,REFUTES,Filmfare is about cheese.,"[[[103528, 116946, 'Filmfare', 0]]]"
140101,VERIFIABLE,REFUTES,Buckingham Palace lacks brightly colored scagliola.,"[[[163064, 177277, 'Buckingham_Palace', 15]]]"
213821,VERIFIABLE,SUPPORTS,Sarah Paulson makes an appearance in What Women Want.,"[[[253820, 253587, 'Sarah_Paulson', 2]]]"
187282,VERIFIABLE,SUPPORTS,David Harbour is an American.,"[[[218502, 224775, 'David_Harbour', 0]]]"
193992,VERIFIABLE,SUPPORTS,The terrain of Kazakhstan includes taiga.,"[[[227169, 231571, 'Kazakhstan', 12]]]"
132873,VERIFIABLE,REFUTES,"José María Chacón surrendered the island of Trinidad in 1797, one year before his death.","[[[155336, 170035, 'José_María_Chacón', 0]]]"
15711,VERIFIABLE,SUPPORTS,Liverpool F.C. was valued at $1.55 billion at one point.,"[[[31112, 37788, 'Liverpool_F.C.', 11]]]"
104690,VERIFIABLE,SUPPORTS,Land Rover makes cars.,"[[[122985, 137249, 'Land_Rover', 0]], [[122985, 137250, 'Land_Rover', 11]]]"
48320,VERIFIABLE,SUPPORTS,Sully is a form of media.,"[[[64685, 75506, 'Sully_-LRB-film-RRB-', 0]]]"
80232,VERIFIABLE,SUPPORTS,Stanley Tucci performed in an television series.,"[[[97210, 110390, 'Stanley_Tucci', 4], [97210, 110390, 'Monk_-LRB-TV_series-RRB-', 0]]]"
60225,VERIFIABLE,REFUTES,Brock Lesnar married Randy Couture.,"[[[76655, 87974, 'Brock_Lesnar', 18]]]"
50619,VERIFIABLE,SUPPORTS,The Khmer Empire was not weak.,"[[[66965, 77763, 'Khmer_Empire', 0]]]"
172885,VERIFIABLE,SUPPORTS,On the Road (film) premiered at a film festival.,"[[[199623, 209302, 'On_the_Road_-LRB-film-RRB-', 5]], [[199623, 209303, 'On_the_Road_-LRB-film-RRB-', 6]], [[199623, 209304, 'On_the_Road_-LRB-film-RRB-', 7]]]"
89016,VERIFIABLE,SUPPORTS,Paramore's co-founders left the band in March 2010.,"[[[106250, 119689, 'Paramore_-LRB-album-RRB-', 2]]]"
147532,VERIFIABLE,SUPPORTS,Peter Davison has been in a BBC show.,"[[[171118, 184635, 'Peter_Davison', 1]], [[171118, 184636, 'Peter_Davison', 2], [171118, 184636, 'Sink_or_Swim_-LRB-TV_series-RRB-', 0]]]"
116614,VERIFIABLE,REFUTES,"21 Jump Street was released June 16, 2012.","[[[136980, 151810, '21_Jump_Street_-LRB-film-RRB-', 4]]]"
209444,VERIFIABLE,SUPPORTS,"The collections of the Philadelphia Museum of Art contain over 240,000 objects.","[[[247949, 248240, 'Philadelphia_Museum_of_Art', 2]]]"
135416,VERIFIABLE,SUPPORTS,Dustin Hoffman is an award-winning actor.,"[[[158017, 172644, 'Dustin_Hoffman', 6], [158017, 172644, 'Dustin_Hoffman', 0], [158017, 172644, 'Dustin_Hoffman', 5]], [[158017, 172645, 'Dustin_Hoffman', 2]]]"
219066,VERIFIABLE,SUPPORTS,T. J. Miller was featured in Deadpool 2.,"[[[260555, 258945, 'Deadpool_-LRB-film-RRB-', 1]]]"
145636,VERIFIABLE,REFUTES,Stephon Marbury plays basketball in America.,"[[[168962, 182661, 'Stephon_Marbury', 0]]]"
135345,VERIFIABLE,SUPPORTS,CP affects people.,"[[[157940, 172547, 'Cerebral_palsy', 1]]]"
58943,VERIFIABLE,SUPPORTS,Alfred Hitchcock is a person.,"[[[75330, 86578, 'Alfred_Hitchcock', 0]]]"
168445,VERIFIABLE,REFUTES,Julius Caesar is only a book.,"[[[193983, 204414, 'Julius_Caesar_-LRB-1953_film-RRB-', 0]]]"
228933,VERIFIABLE,SUPPORTS,Pulp Fiction is directed by a male.,"[[[273159, 268714, 'Pulp_Fiction', 0], [273159, 268714, 'Quentin_Tarantino', 0], [273159, 268714, 'Quentin_Tarantino', 1]]]"
69880,VERIFIABLE,REFUTES,Absolute Beginners was directed by Hitchcock.,"[[[86578, 99037, 'Absolute_Beginners_-LRB-film-RRB-', 1]]]"
161033,VERIFIABLE,SUPPORTS,No Reservations got a mixed reception from critics.,"[[[185564, 197313, 'No_Reservations_-LRB-film-RRB-', 5]]]"
144047,VERIFIABLE,SUPPORTS,Claire Danes is wedded to an actor from England.,"[[[167214, 181040, 'Claire_Danes', 15], [167214, 181040, 'Hugh_Dancy', 0]], [[167215, 181041, 'Claire_Danes', 15], [167215, 181041, 'Hugh_Dancy', 0]]]"
166161,VERIFIABLE,REFUTES,Dangerous Liaisons is based on Christopher Hampton's novel.,"[[[191071, 201995, 'Dangerous_Liaisons', 0]]]"
10265,VERIFIABLE,SUPPORTS,The Academy Awards are an annual event.,"[[[25219, 31102, 'Academy_Awards', 0], [25219, 31102, 'Academy_of_Motion_Picture_Arts_and_Sciences', 8]]]"
187935,VERIFIABLE,SUPPORTS,Hubert Humphrey became the DFL candidate for mayor of a city.,"[[[219300, 225335, 'Hubert_Humphrey', 10], [219300, 225335, 'Minneapolis', 1]]]"
139841,VERIFIABLE,SUPPORTS,Alex Rodriguez has 666 home runs.,"[[[162752, 177000, 'Alex_Rodriguez', 3]]]"
221791,VERIFIABLE,SUPPORTS,Friendship has been studied in academic fields.,"[[[264120, 261665, 'Friendship', 2]], [[264122, 261667, 'Friendship', 2]]]"
52846,VERIFIABLE,SUPPORTS,Judd Apatow is a person who writes.,"[[[69129, 79916, 'Judd_Apatow', 0]], [[69129, 79917, 'Judd_Apatow', 1], [69129, 79917, 'Funny_People', 0]]]"
189135,VERIFIABLE,REFUTES,Massachusetts is far away from Rhode Island.,"[[[220856, 226643, 'Massachusetts', 1]]]"
37693,VERIFIABLE,REFUTES,Giancarlo Stanton was in the 2017 MLB draft.,"[[[53877, 63864, 'Giancarlo_Stanton', 4]]]"
17202,VERIFIABLE,SUPPORTS,Chris Pine appeared in Wonder Woman (2017 film).,"[[[32656, 39694, 'Chris_Pine', 2]]]"
41961,VERIFIABLE,SUPPORTS,Trevor Noah hosts a news satire show.,"[[[58248, 68490, 'Trevor_Noah', 9]]]"
197680,VERIFIABLE,SUPPORTS,Lucas starred an actor that died on March 10.,"[[[232390, 235598, 'Lucas_-LRB-film-RRB-', 2], [232390, 235598, 'Corey_Haim', 0], [232390, 235598, 'Corey_Haim', 10]]]"
95895,VERIFIABLE,REFUTES,Ryan Phillippe refused to perform in the soap opera One Life to Live.,"[[[113410, 127275, 'Ryan_Phillippe', 1]]]"
50297,VERIFIABLE,REFUTES,Sean Connery never won an Academy Award.,"[[[66653, 77469, 'Sean_Connery', 0]], [[66653, 77470, 'Sean_Connery', 5]]]"
